Title,Price,Rating,Stock
A Light in the Attic,51.77,3,22
Tipping the Velvet,53.74,1,20
Soumission,50.1,1,20
Sharp Objects,47.82,4,20
Sapiens: A Brief History of Humankind,54.23,5,20
The Requiem Red,22.65,1,19
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,19
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,19
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,19
The Black Maria,52.15,1,19
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,19
Shakespeare's Sonnets,20.66,4,19
Set Me Free,17.46,5,19
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,19
Rip it Up and Start Again,35.02,5,19
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,19
Olio,23.88,1,19
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,19
Libertarianism for Beginners,51.33,2,19
It's Only the Himalayas,45.17,2,19
In Her Wake,12.84,1,19
How Music Works,37.32,2,19
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,19
Chase Me (Paris Nights #2),25.27,5,19
Black Dust,34.53,5,19
Birdsong: A Story in Pictures,54.64,3,19
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,19
Aladdin and His Wonderful Lamp,53.13,3,19
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,18
Wall and Piece,44.18,4,18
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,18
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,18
The Elephant Tree,23.82,5,18
The Bear and the Piano,36.89,1,18
Sophie's World,15.94,5,18
Penny Maybe,33.29,3,18
Maude (1883-1993):She Grew Up with the country,18.02,2,18
"In a Dark, Dark Wood",19.63,1,18
Behind Closed Doors,52.22,4,18
You can't bury them all: Poems,33.63,2,17
Slow States of Collapse: Poems,57.31,3,17
Reasons to Stay Alive,26.41,2,17
Private Paris (Private #10),47.61,5,17
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,17
Without Borders (Wanderlove #1),45.07,2,16
When We Collided,31.77,1,16
"We Love You, Charlie Freeman",50.27,5,16
Untitled Collection: Sabbath Poems 2014,14.27,4,16
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,16
Unicorn Tracks,18.78,3,16
